Transaction_ID,Timestamp,User_ID,UPI_ID,Bank_Name,UPI_App,Amount,Status,Decline_Type,Failure_Reason
TXN101502,01/06/26 0:03,USR_4801,usr_4801@okhdfc,HDFC,GPay,154.06,Success,NULL,None
TXN113146,01/06/26 0:06,USR_2746,usr_2746@okaxis,AXIS,PhonePe,451.02,Success,NULL,None
TXN105091,01/06/26 0:06,USR_1784,usr_1784@okhdfc,HDFC,GPay,260.71,Success,NULL,None
TXN108703,01/06/26 0:14,USR_2736,usr_2736@oksbi,SBI,PhonePe,311.05,Success,NULL,None
TXN100025,01/06/26 0:15,USR_1086,usr_1086@okicici,ICICI,PhonePe,122.76,Success,NULL,None
TXN101305,01/06/26 0:15,USR_4873,usr_4873@okaxis,SBI,Paytm,393.57,Success,NULL,None
TXN101593,01/06/26 0:15,USR_2382,usr_2382@oksbi,SBI,GPay,28.92,Success,NULL,None
TXN107677,01/06/26 0:16,USR_2676,usr_2676@oksbi,SBI,GPay,1442.24,Success,NULL,None
TXN103312,01/06/26 0:18,USR_4654,usr_4654@oksbi,SBI,GPay,519.89,Success,NULL,None
TXN111880,01/06/26 0:18,USR_3025,usr_3025@oksbi,SBI,PhonePe,161.79,Failure,BD,Incorrect PIN
TXN100506,01/06/26 0:21,USR_4528,usr_4528@okhdfc,HDFC,Paytm,331.5,Success,NULL,None
TXN104432,01/06/26 0:22,USR_2805,usr_2805@oksbi,SBI,GPay,471.17,Success,NULL,None
TXN102300,01/06/26 0:26,USR_3466,usr_3466@oksbi,SBI,PhonePe,1337.84,Success,NULL,None
TXN109662,01/06/26 0:26,USR_4834,usr_4834@okicici,ICICI,PhonePe,774.7,Success,NULL,None
TXN113019,01/06/26 0:26,USR_3166,usr_3166@okaxis,AXIS,Paytm,1053.77,Success,NULL,None
TXN103350,01/06/26 0:28,USR_3600,usr_3600@okicici,ICICI,Paytm,3270.06,Success,NULL,None
TXN107847,01/06/26 0:36,USR_4565,usr_4565@okhdfc,HDFC,Paytm,1416.64,Success,NULL,None
TXN112591,01/06/26 0:40,USR_2495,usr_2495@oksbi,SBI,PhonePe,472.73,Success,NULL,None
TXN110135,01/06/26 0:46,USR_2946,usr_2946@oksbi,SBI,Paytm,329.21,Success,NULL,None
TXN109159,01/06/26 0:55,USR_3658,usr_3658@okicici,ICICI,PhonePe,462.96,Success,NULL,None
TXN104330,01/06/26 0:55,USR_2702,usr_2702@okhdfc,HDFC,GPay,832.45,Success,NULL,None
TXN111874,01/06/26 0:57,USR_3262,usr_3262@okhdfc,HDFC,Paytm,271.78,Success,NULL,None
TXN104107,01/06/26 1:03,USR_3359,usr_3359@okaxis,AXIS,PhonePe,160.27,Success,NULL,None
TXN107600,01/06/26 1:06,USR_3379,usr_3379@okicici,ICICI,GPay,224.06,Success,NULL,None
TXN102756,01/06/26 1:12,USR_3549,usr_3549@okhdfc,HDFC,GPay,357.5,Success,NULL,None
TXN109120,01/06/26 1:13,USR_2127,usr_2127@oksbi,SBI,PhonePe,365.38,Success,NULL,None
TXN110768,01/06/26 1:16,USR_2522,usr_2522@okaxis,AXIS,PhonePe,162.43,Success,NULL,None
TXN109979,01/06/26 1:19,USR_3335,usr_3335@okhdfc,HDFC,Paytm,91.43,Success,NULL,None
TXN109935,01/06/26 1:20,USR_1654,usr_1654@oksbi,SBI,GPay,351.23,Failure,TD,Bank Server Timeout
TXN112030,01/06/26 1:22,USR_4547,usr_4547@okhdfc,HDFC,Paytm,85.18,Success,NULL,None
TXN109838,01/06/26 1:27,USR_2702,usr_2702@okaxis,AXIS,Paytm,16.47,Success,NULL,None
TXN112572,01/06/26 1:32,USR_3953,usr_3953@okhdfc,HDFC,GPay,2215.76,Success,NULL,None
TXN114352,01/06/26 1:33,USR_4052,usr_4052@okhdfc,HDFC,PhonePe,88.59,Success,NULL,None
TXN107514,01/06/26 1:46,USR_3324,usr_3324@okaxis,AXIS,GPay,49.29,Success,NULL,None
TXN113329,01/06/26 1:47,USR_4199,usr_4199@okicici,ICICI,GPay,109.18,Success,NULL,None
TXN107590,01/06/26 1:54,USR_1193,usr_1193@okhdfc,HDFC,PhonePe,1089.35,Failure,TD,Bank Server Timeout
TXN101040,01/06/26 1:56,USR_3790,usr_3790@oksbi,SBI,GPay,2366.85,Success,NULL,None
TXN107207,01/06/26 1:57,USR_2711,usr_2711@okhdfc,HDFC,GPay,428.11,Success,NULL,None
TXN109076,01/06/26 1:57,USR_2932,usr_2932@oksbi,SBI,GPay,139.37,Failure,TD,Bank Server Timeout
TXN109194,01/06/26 2:00,USR_1368,usr_1368@okaxis,AXIS,PhonePe,193.11,Success,NULL,None
TXN100313,01/06/26 2:08,USR_1959,usr_1959@okaxis,AXIS,GPay,1597.54,Success,NULL,None
TXN105618,01/06/26 2:09,USR_1503,usr_1503@okhdfc,HDFC,Paytm,217.18,Success,NULL,None
TXN101316,01/06/26 2:11,USR_2255,usr_2255@okhdfc,HDFC,PhonePe,405.33,Success,NULL,None
TXN103817,01/06/26 2:15,USR_3803,usr_3803@okaxis,AXIS,GPay,1532.46,Success,NULL,None
TXN104697,01/06/26 2:16,USR_4306,usr_4306@okhdfc,HDFC,Paytm,30.83,Success,NULL,None
TXN105891,01/06/26 2:30,USR_3670,usr_3670@okicici,ICICI,PhonePe,3477.82,Success,NULL,None
TXN100058,01/06/26 2:33,USR_3813,usr_3813@okhdfc,HDFC,GPay,1613.18,Success,NULL,None
TXN113304,01/06/26 3:00,USR_2479,usr_2479@okicici,ICICI,GPay,1452.98,Success,NULL,None
TXN109568,01/06/26 3:27,USR_2774,usr_2774@okicici,ICICI,GPay,403.72,Failure,BD,Incorrect PIN
TXN114735,01/06/26 3:29,USR_2218,usr_2218@okhdfc,HDFC,GPay,106.54,Success,NULL,None
TXN107791,01/06/26 3:40,USR_3118,usr_3118@okaxis,AXIS,GPay,56.24,Success,NULL,None
TXN102148,01/06/26 3:45,USR_3482,usr_3482@okicici,ICICI,GPay,601.54,Success,NULL,None
TXN113051,01/06/26 3:52,USR_1431,usr_1431@okhdfc,HDFC,GPay,919.32,Success,NULL,None
TXN111459,01/06/26 3:53,USR_1584,usr_1584@okhdfc,HDFC,GPay,496.4,Success,NULL,None
TXN101883,01/06/26 4:07,USR_3376,usr_3376@okicici,ICICI,PhonePe,452.86,Success,NULL,None
TXN102597,01/06/26 4:09,USR_3057,usr_3057@okhdfc,HDFC,PhonePe,135.17,Success,NULL,None
TXN108877,01/06/26 4:12,USR_3122,usr_3122@oksbi,SBI,GPay,1164.07,Success,NULL,None
TXN106017,01/06/26 4:12,USR_2927,usr_2927@okaxis,AXIS,GPay,371.85,Success,NULL,None
TXN111858,01/06/26 4:21,USR_2222,usr_2222@oksbi,SBI,PhonePe,1931.9,Success,NULL,None
TXN102656,01/06/26 4:21,USR_4343,usr_4343@oksbi,SBI,GPay,145.58,Failure,BD,Insufficient Balance
TXN105354,01/06/26 4:23,USR_1250,usr_1250@okhdfc,HDFC,GPay,406.67,Success,NULL,None
TXN110751,01/06/26 4:23,USR_3939,usr_3939@okhdfc,HDFC,PhonePe,432.43,Success,NULL,None
TXN105023,01/06/26 4:27,USR_3178,usr_3178@okhdfc,HDFC,GPay,111.61,Success,NULL,None
TXN113176,01/06/26 4:28,USR_2924,usr_2924@okaxis,AXIS,PhonePe,3545.82,Success,NULL,None
TXN106480,01/06/26 4:34,USR_3101,usr_3101@okicici,ICICI,Paytm,2576.36,Success,NULL,None
TXN103442,01/06/26 4:35,USR_1408,usr_1408@oksbi,SBI,GPay,287.87,Success,NULL,None
TXN108812,01/06/26 4:38,USR_1235,usr_1235@okaxis,AXIS,PhonePe,260.58,Success,NULL,None
TXN100944,01/06/26 4:38,USR_2321,usr_2321@okhdfc,HDFC,PhonePe,1740.41,Success,NULL,None
TXN114829,01/06/26 4:39,USR_4504,usr_4504@oksbi,SBI,PhonePe,310.08,Success,NULL,None
TXN109240,01/06/26 4:40,USR_1161,usr_1161@oksbi,SBI,GPay,252.49,Success,NULL,None
TXN106243,01/06/26 4:42,USR_2048,usr_2048@oksbi,SBI,GPay,252.94,Success,NULL,None
TXN113602,01/06/26 4:43,USR_2779,usr_2779@okhdfc,HDFC,Paytm,297.34,Success,NULL,None
TXN112728,01/06/26 4:45,USR_3922,usr_3922@okicici,ICICI,GPay,279.71,Success,NULL,None
TXN109756,01/06/26 4:45,USR_2066,usr_2066@okicici,ICICI,GPay,448.72,Success,NULL,None
TXN103016,01/06/26 4:47,USR_1309,usr_1309@okhdfc,HDFC,PhonePe,252.85,Success,NULL,None
TXN110268,01/06/26 4:48,USR_3468,usr_3468@oksbi,SBI,PhonePe,1372.37,Success,NULL,None
TXN105810,01/06/26 4:49,USR_2300,usr_2300@okaxis,AXIS,GPay,128.74,Success,NULL,None
TXN109706,01/06/26 4:52,USR_1773,usr_1773@okicici,ICICI,GPay,264.48,Success,NULL,None
TXN108900,01/06/26 4:57,USR_2120,usr_2120@oksbi,SBI,PhonePe,129.26,Success,NULL,None
TXN112950,01/06/26 5:00,USR_3254,usr_3254@okhdfc,HDFC,GPay,415.82,Success,NULL,None
TXN110702,01/06/26 5:01,USR_3848,usr_3848@oksbi,SBI,GPay,4237.04,Success,NULL,None
TXN110262,01/06/26 5:01,USR_2176,usr_2176@okhdfc,HDFC,GPay,21.85,Success,NULL,None
